epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
1,1.8799997813122569,0.5033936714932217,0.4654273701468793,1.6112213491149903,0.5616836,0.532691489751561,1.9999999999999998e-05,0.0003333333333333333,42076.4,1069.5,0.42,0.0,43.12,2026-05-27T09:11:07.764271
2,1.6108466250886513,0.5608540643257803,0.5334770366438728,1.5207433078948975,0.5831004,0.5591926610543355,2.997722274649974e-05,0.000499620379108329,42025.1,1070.8,0.42,0.0,44.64,2026-05-27T20:51:34.587042
3,1.5437274946921136,0.5768200648107589,0.5517550529098141,1.471527052770996,0.5950246,0.5759040692408689,2.9795419551040836e-05,0.0004965903258506806,42224.5,1065.7,0.42,0.0,45.35,2026-05-28T08:35:20.865150
4,1.5121863361571244,0.5841646974786808,0.5600383325177708,1.4490569744384765,0.600703,0.5809496322583773,2.9434020004638757e-05,0.0004905670000773126,42255.3,1065.0,0.42,0.0,45.51,2026-05-28T20:19:37.916514
