epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,timestamp
1,1.8712690402035184,0.4995551111111111,0.4601574387636241,1.7831575923919678,0.517992,0.482127006790925,3e-05,0.0005,2026-03-03T20:48:19.667587
2,1.724530163798862,0.5319542222222222,0.498611369882234,1.651629025741577,0.548542,0.514334338920696,2.979541955104084e-05,0.0004965903258506,2026-03-03T23:58:47.764750
3,1.6525602778066,0.5483011111111111,0.5179818495474179,1.620297818069458,0.555222,0.5244221757166789,2.918725862550952e-05,0.0004864543104251,2026-03-04T03:07:54.341686
4,1.6100322863676284,0.5585626666666667,0.5299116453072741,1.5721217277908326,0.567706,0.5374586405071594,2.8192106268097336e-05,0.0004698684378016,2026-03-04T06:18:02.929901
5,1.5777409986186557,0.5662606666666666,0.5388206163037033,1.5531168301086429,0.571826,0.5404017062494632,2.6837107640945904e-05,0.000447285127349,2026-03-04T09:26:40.144185
6,1.551337172753652,0.5725253333333333,0.5462267591236598,1.5327268122863769,0.576802,0.5479060289609904,2.515922357438612e-05,0.0004193203929064,2026-03-04T12:33:27.176026
7,1.5290867449192471,0.5779868888888889,0.5525135605115818,1.5008342638015748,0.584626,0.5599607402998181,2.320422237183641e-05,0.0003867370395306,2026-03-04T15:41:15.477077
8,1.508850864218394,0.5828148888888889,0.5580432901389619,1.489986194847107,0.58713,0.5611122110186801,2.1025431369794542e-05,0.0003504238561632,2026-03-04T18:42:38.829645
9,1.490484784409841,0.58713,0.5630321276947174,1.4781119136199952,0.590522,0.5646735833530419,1.8682282307111988e-05,0.0003113713717851,2026-03-04T21:35:26.720750
10,1.473569027469423,0.5912562222222222,0.5677630887176636,1.4637471905593873,0.593908,0.5705391606444304,1.623869018208499e-05,0.000270644836368,2026-03-05T00:31:28.139241
11,1.4572307771233453,0.5955904444444444,0.5726341581701717,1.452852248046875,0.59702,0.5756451156944167,1.3761309817915015e-05,0.0002293551636319,2026-03-05T03:24:35.916553
12,1.4414842290123833,0.5991633333333334,0.5767876250613854,1.4421992443008422,0.599562,0.5764343517117927,1.1317717692888014e-05,0.0001886286282148,2026-03-05T06:17:12.943498
13,1.4273017012907665,0.6025177777777778,0.5805975176736896,1.4264249415893555,0.603272,0.5798991960950515,8.974568630205462e-06,0.0001495761438367,2026-03-05T09:09:45.108847
14,1.41330161168819,0.6059537777777778,0.5844326855476354,1.418287129646301,0.605606,0.583527369762794,6.795777628163599e-06,0.0001132629604693,2026-03-05T12:05:28.062657
15,1.4882555464053684,0.5880273333333333,0.5641763477090184,1.4777165910339356,0.591832,0.5662733280223157,2.9711779206048457e-05,0.0004951963201008077,2026-03-06T05:11:07.364415
16,1.4723717654009925,0.5920373333333333,0.5687171037116586,1.4648144345550538,0.593966,0.5702303633212996,2.8858192987669303e-05,0.0004809698831278217,2026-03-06T08:05:48.275038
17,1.458374054227829,0.5952126666666666,0.5723964950763972,1.4622810326385498,0.594966,0.5692565694865573,2.747204418453818e-05,0.00045786740307563633,2026-03-06T11:01:11.727166
18,1.4453134930313958,0.5984346666666667,0.5761089085398062,1.462797501701355,0.59539,0.5696507707045696,2.5606601717798212e-05,0.00042677669529663686,2026-03-06T14:01:21.630259
19,1.432394759255939,0.6017573333333334,0.5798634612421023,1.4476532212905884,0.597916,0.5724282599112198,2.3333553495294033e-05,0.00038889255825490053,2026-03-06T17:01:31.704118
20,1.418378310145908,0.6051582222222223,0.5837215130009071,1.432726553237915,0.602448,0.5825914324649754,2.074025148547635e-05,0.0003456708580912725,2026-03-06T20:02:39.188366
21,1.4043367283073,0.6083882222222222,0.5874076441961718,1.4228609629211426,0.60514,0.5826779194403081,1.7926354830241928e-05,0.0002987725805040321,2026-03-06T23:02:50.059315
22,1.3908647087177701,0.6118568888888889,0.591321763385194,1.4141548515472413,0.606752,0.5841406598481976,1.5e-05,0.00025,2026-03-07T02:04:12.629320
23,1.375986553961224,0.6155837777777777,0.5955892598114784,1.4025759292907716,0.610312,0.5881587573518898,1.2073645169758078e-05,0.00020122741949596797,2026-03-07T05:03:19.022048
24,1.36228620136812,0.618698,0.599124425540858,1.393362474281311,0.612004,0.5905857424143774,9.259748514523654e-06,0.00015432914190872756,2026-03-07T08:03:41.860518
25,1.3483328366646237,0.6223024444444445,0.6031551338480297,1.3881866109924317,0.613116,0.592224036964351,6.666446504705971e-06,0.00011110744174509952,2026-03-07T11:03:35.703331
26,1.334585901075787,0.6255648888888888,0.6068086434434842,1.3760890005874633,0.616292,0.5972919940001025,4.393398282201788e-06,7.322330470336314e-05,2026-03-07T14:02:15.620838
27,1.3222557490153843,0.6285935555555555,0.610198962031386,1.3681548123550415,0.617972,0.5987776348224247,2.52795581546182e-06,4.213259692436367e-05,2026-03-07T17:05:05.152048
28,1.3118707417579227,0.6313571111111111,0.6132960175602925,1.3636326599349975,0.619658,0.6011113918895702,1.1418070123306989e-06,1.9030116872178316e-05,2026-03-07T20:04:39.942401
29,1.3045089326464334,0.6332431111111111,0.6154270696383654,1.3606370869293214,0.62022,0.6009988941421974,2.8822079395154357e-07,4.803679899192393e-06,2026-03-07T23:05:35.051502
