epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
1,3.52945953556961,0.1956306256231977,0.1819368159233035,3.1934959746551512,0.246872,0.2295127158688231,2.8897256560955848e-05,0.0004816209426825,37160.3,127.8,1.92,0.0,5.95,2026-07-13T23:16:13.692133
2,3.143230967441096,0.2570484511008704,0.2426807976032155,3.051268659515381,0.27544,0.2598064040184132,2.388326423099944e-05,0.0003980544038499,37171.3,127.8,1.92,0.0,6.13,2026-07-14T09:35:50.034547
3,3.039341730889897,0.277103208289541,0.2629719417083456,2.9766728267822264,0.28962,0.2758374572496405,1.6238444775487392e-05,0.0002706407462581,37164.6,127.8,1.92,0.0,6.07,2026-07-14T19:55:20.071970
4,2.969165470876821,0.290739781304758,0.2767953713067021,2.9243452137298585,0.299396,0.2866829544449758,8.22923872432242e-06,0.000137153978738707,9319.3,509.7,1.92,0.0,6.33,2026-07-15T01:37:57.363979
5,2.9182770577563173,0.30112217402733965,0.2873372542704417,2.892134521072388,0.306144,0.2930259216479879,2.224667277271664e-06,3.7077787954527734e-05,9318.3,509.8,1.92,0.0,6.47,2026-07-15T04:13:21.478567
6,2.890158320776817,0.3065136181656422,0.29280122762532473,2.882708346343994,0.307904,0.2946084124178726,3.350549176439621e-12,5.584248627399369e-11,9317.2,509.8,1.92,0.0,6.47,2026-07-15T06:48:44.415907
