epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
1,3.1093852250297305,0.2681610306031391,0.254363714646008,2.814239734106445,0.323328,0.3084418905225995,2.8898791680901123e-05,0.000481646528015,93395.2,508.6,1.92,0.0,42.75,2026-07-16T10:57:35.702150
2,2.7919197928604294,0.3261793730050252,0.3135804174244521,2.679201217697144,0.3485348,0.3345837041360625,2.3889340182330545e-05,0.0003981556697055,93689.6,507.0,1.92,0.0,43.03,2026-07-17T16:19:57.177346
3,2.6632972729626445,0.3523493715623116,0.340410025929843,2.604995318130493,0.3643448,0.3516337944503166,1.6245880110408642e-05,0.0002707646685068,15095.8,3146.6,1.92,0.0,40.58,2026-07-18T19:38:18.115646
4,2.6359924796752825,0.3581274768490436,0.3464012638375683,2.5493455437866213,0.3766992,0.3660097326751247,8.236540730437835e-06,0.0001372756788406,93573.7,507.6,1.92,0.0,43.47,2026-07-19T21:37:58.534615
5,2.5723730578373467,0.3717278662413342,0.3602478672328479,2.5100018942230227,0.3855048,0.3749891537838204,2.2268114881551736e-06,3.711352480258623e-05,29918.2,1587.7,1.92,0.0,41.02,2026-07-21T00:09:38.833259
6,2.559614166514956,0.3745093519671751,0.3630606042866521,2.497068645019531,0.3884528,0.37733167106829324,6.629148062153867e-12,1.1048580103589779e-10,93544.6,507.8,1.92,0.0,43.94,2026-07-22T02:08:50.263414
