,precision,recall,f1-score,support
Peptoniphilus,0.6575653602667568,0.4641492700231955,0.5441820472314983,29316.0
Peptostreptococcus,0.5855855855855856,0.039914031317163035,0.07473411899971256,3257.0
Phascolarctobacterium,0.6562596599690881,0.6517642995567665,0.6540042550323941,52117.0
Phyllobacterium,0.5026773761713521,0.23058028860914953,0.31614396969059144,3257.0
Porphyromonas,0.8507173526023667,0.8313037249283668,0.8408985042182082,39088.0
Prevotella,0.6617650614791261,0.7386324532579432,0.6980891435422107,296414.0
Propionibacterium,0.5482796892341842,0.3791250959324635,0.4482758620689655,6515.0
Propionimicrobium,0.5562880324543611,0.3368130181148296,0.41958309428188945,3257.0
Proteus,0.48564294631710364,0.11943506294135707,0.1917200591424347,3257.0
Providencia,0.4332176674704464,0.45226254067661326,0.44253529588465007,16287.0
Pseudobutyrivibrio,0.5136852394916911,0.16132003069838832,0.24553206401121364,6515.0
Pseudomonas,0.5695720783440081,0.4709494205234477,0.515586925468448,13029.0
Ralstonia,0.4878869448183042,0.2225974823457169,0.3057136833227915,3257.0
Robinsoniella,0.3548503425892535,0.07552383145291273,0.12454119731679535,13029.0
Roseburia,0.40031992857408577,0.2202415063446582,0.2841525725828811,48860.0
Rothia,0.6123271889400922,0.3263739637703408,0.4257961145603845,3257.0
Ruminococcus,0.562410404406217,0.5721145313167072,0.5672209658740973,208467.0
Sanguibacteroides,0.36042402826855124,0.06263432606693276,0.10672246926497515,3257.0
Selenomonas,0.6702971030599393,0.5554736906735434,0.6075073865162504,16287.0
Slackia,0.5961883599692334,0.356938190749079,0.44653544567130743,19544.0
Sneathia,0.4666666666666667,0.010746085354620816,0.02100840336134454,3257.0
Solobacterium,0.5222999740226003,0.5486726418392843,0.5351615948629012,117263.0
Sporolactobacillus,0.43444576877234803,0.22382560638624502,0.29544072948328265,3257.0
Staphylococcus,0.4068233944954128,0.34849880272610056,0.37540923972353585,16287.0
Streptococcus,0.6050679684971411,0.65592152390977,0.6294693276279331,68403.0
Streptomyces,0.5708692247454973,0.44765121277249004,0.5018069179143004,3257.0
Subdoligranulum,0.6678376954154225,0.38907081457224724,0.49169091496928546,9772.0
Succinatimonas,0.6706896551724137,0.5573065902578797,0.6087636932707355,9772.0
Succiniclasticum,0.6119386393952868,0.4225189960856551,0.49988649262202045,13029.0
Sutterella,0.6178871858388811,0.6563747204069997,0.6365497184843345,91204.0
Treponema,0.6886920980926431,0.620769053649551,0.6529689581399104,13029.0
Veillonella,0.6807923868712371,0.7337463892493825,0.7062782076079949,71661.0
Weissella,0.40615384615384614,0.08105618667485416,0.13514205272587662,3257.0
Xylanibacter,0.4706293706293706,0.10330007674597083,0.1694147262429201,6515.0
accuracy,0.6628532,0.6628532,0.6628532,0.6628532
macro avg,0.5630594013146194,0.3926312222467221,0.4383932479039931,5000000.0
weighted avg,0.6538827204347911,0.6628532,0.6484954046674778,5000000.0
