model,read_acc,pearson_r,bc,roc_auc,sens95
NT-v2 species→genus (flat),0.6277164730421002,0.9886272835951178,0.14318823529411764,0.6993452358490566,0.2258
NT-v2 species→genus (hier),0.6887868653794614,0.9921863466423643,0.11618823529411763,0.6809543396226416,0.1755
NT-v2 per-genus (predicted)→genus,0.6831470886400447,0.9928418176011407,0.11628235294117645,0.6753033490566038,0.1685
NT-v2 per-genus (ORACLE)→genus,1.0,1.0,0.0,0.9661980188679246,0.9362
MT 13-mer genus (dedicated),0.9488574791130169,0.9993380684799854,0.0286,0.9045116132075472,0.6652
MT 6-mer genus (dedicated),0.5148626760973677,0.9828102162436824,0.1771529411764706,0.5755414150943396,0.0923
Kraken2 (genus),0.7768093312669688,0.8230177994263689,0.12576640382346488,0.9657031132075472,0.9355
NT-Genus v9 (dedicated),0.6887868653794614,0.9921863466423643,0.11618823529411763,0.6809543396226416,0.1755
