epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,epoch_time_sec,throughput_reads_per_sec,gpu_allocated_gb,gpu_util_pct,ram_rss_gb,timestamp
1,4.5138323561744205,0.125416933926306,0.1115940441545912,4.350972253381348,0.142277,0.1243228747507831,2.979541735089692e-05,0.0004965902891816,24888.9,1808.0,3.83,0.0,42.94,2026-03-29T07:45:48.183570
2,4.376453303293049,0.1395461984657044,0.1240546417468036,4.323368075952148,0.1461648,0.1288581100643795,2.8192100612986493e-05,0.0004698683435497,24933.5,1804.8,3.83,0.0,43.83,2026-03-29T14:41:26.707735
3,4.35178694438388,0.1427466474618986,0.1271770855670481,4.298284705187989,0.149617,0.1303935480401786,2.515921592538166e-05,0.000419320265423,24676.4,1823.6,3.83,0.0,44.56,2026-03-29T21:32:48.371199
4,4.329353618633762,0.1455465403328573,0.1298249664849392,4.279285931213379,0.1521002,0.1344242393034162,2.1025423209024102e-05,0.0003504237201504,24476.0,1838.5,3.83,0.0,45.07,2026-03-30T04:20:49.357071
5,4.3065808093631714,0.1484345444402409,0.1324236333496439,4.251086996936035,0.1560864,0.1376950979270028,1.62386827813304e-05,0.0002706447130221,24464.0,1839.4,3.83,0.0,45.4,2026-03-30T11:08:38.481381
6,4.282896688325573,0.1516645045895176,0.1352386914079441,4.227582435192871,0.1591438,0.1405260061439861,1.1317711933783389e-05,0.0001886285322297,24465.9,1839.3,3.83,0.0,45.62,2026-03-30T17:56:29.371206
7,4.335893253543572,0.14436791643437,0.1293012059999015,4.286230773944092,0.1512306,0.1335719144829049,2.987167292060716e-05,0.0004978612153434,24943.2,1804.1,3.83,0.0,42.59,2026-03-31T08:22:00.482979
8,4.324110287748574,0.1458390518599848,0.1307811929408335,4.277444958489991,0.1516632,0.1331548490430078,2.9488887394336025e-05,0.0004914814565722,24649.6,1825.6,1.97,0.0,43.48,2026-03-31T15:12:55.557171
9,4.316358568697106,0.1468094532401112,0.1317760646465394,4.27218903135376,0.1523406,0.1340466079177051,2.8858192987669303e-05,0.0004809698831278,24660.3,1824.8,1.97,0.0,44.19,2026-03-31T22:04:01.149258
10,4.308899053464266,0.1476520544384774,0.1326153750906119,4.265691886071777,0.153945,0.1342905592909888,2.7990381056766583e-05,0.0004665063509461,24657.6,1825.0,1.97,0.0,44.66,2026-04-01T04:55:03.898134
11,4.300979929125068,0.1485157001112179,0.1334834119208821,4.25509412442627,0.1543758,0.1380020612587117,2.6900300104368527e-05,0.0004483383350728,24413.4,1843.3,1.97,0.0,44.97,2026-04-01T11:42:02.563735
12,4.293360092152713,0.1494921014998776,0.13443109290429,4.249997519299316,0.1551464,0.1365245198530895,2.560660171779821e-05,0.0004267766952966,24668.6,1824.2,1.97,0.0,45.2,2026-04-01T18:33:17.264962
13,4.270194188864667,0.152502061336265,0.1370691342981344,4.226259057354737,0.1584602,0.1396665185634441,1.947771948751553e-05,0.0003246286581252,25015.3,1798.9,1.97,0.0,42.94,2026-04-02T09:32:16.220145
14,4.262728855304867,0.1534203070866589,0.1378890397768598,4.216105540820313,0.1596182,0.1424346115349861,1.7875656887433297e-05,0.0002979276147905,25070.9,1794.9,1.97,0.0,43.83,2026-04-02T16:30:12.853062
15,4.254973185405494,0.1543788640054954,0.1387431076363739,4.214259313092041,0.1599478,0.1421651000715591,1.623868771516633e-05,0.0002706447952527,24657.7,1825.0,1.97,0.0,44.55,2026-04-02T23:21:15.789127
16,4.247041174293954,0.1554305766123756,0.1396725719201861,4.203440504144287,0.1613924,0.1433435546851296,1.4586682555006397e-05,0.0002431113759167,25094.4,1793.2,1.97,0.0,45.04,2026-04-03T06:19:35.356697
17,4.239277938426518,0.156545911531963,0.1406532487100198,4.198892633770752,0.1619996,0.1437832146634863,1.2939694507733573e-05,0.0002156615751288,24912.3,1806.3,1.97,0.0,45.36,2026-04-03T13:14:53.271836
18,4.230931861920313,0.1576145352740057,0.1415662169619095,4.186188503784179,0.1636616,0.1446394632685929,1.131771577318602e-05,0.0001886285962197,24624.4,1827.5,1.97,0.0,45.59,2026-04-03T20:05:22.812490
19,4.222948185137419,0.1587843813822313,0.1425672661665649,4.178442342633057,0.164935,0.1458883788819222,9.740434972084452e-06,0.000162340582868,25463.9,1767.2,1.97,0.0,42.92,2026-04-17T09:36:27.167229
20,4.214761287769276,0.159887071839391,0.1434659522746127,4.170075949719238,0.1665872,0.1476578236259755,8.226998152895162e-06,0.0001371166358815,25266.1,1781.0,1.97,0.0,43.84,2026-04-17T16:37:37.978207
21,4.206998108914183,0.1611331847227516,0.1445017663193059,4.163545671264648,0.1674562,0.149312582098537,6.795776384783914e-06,0.0001132629397463,25232.1,1783.4,1.97,0.0,44.59,2026-04-17T23:38:14.947017
22,4.198420142340223,0.1623972531872045,0.1455226819532081,4.154098267926026,0.1688416,0.1503835416514692,5.464142757766859e-06,9.106904596278098e-05,25203.3,1785.5,1.97,0.0,45.09,2026-04-18T06:38:23.150646
23,4.190392862697193,0.1636173438113334,0.14648321725275,4.146958880401612,0.1698726,0.1511126671088553,4.248261496973985e-06,7.080435828289975e-05,25199.5,1785.7,1.97,0.0,45.42,2026-04-18T13:38:27.508127
24,4.182561135658401,0.1648460344476934,0.1474101487831509,4.139367344750976,0.171269,0.152220267808266,3.1628917508918225e-06,5.271486251486371e-05,25158.8,1788.6,1.97,0.0,45.64,2026-04-18T20:37:51.160587
25,4.1760131442818995,0.16602985835357634,0.14825036610802572,4.133288745141601,0.1722826,0.15350074376479422,2.221208435329798e-06,3.702014058882997e-05,25155.0,1788.9,1.97,0.0,42.99,2026-04-20T08:29:29.853132
26,4.170972636057947,0.1671882822233347,0.14900532643067835,4.129317314001465,0.1731222,0.1537233448070413,1.4346423078214187e-06,2.391070513035698e-05,25280.7,1780.0,1.97,0.0,43.92,2026-04-20T15:30:55.295818
27,4.166401288932831,0.1682681282035601,0.1498137304670837,4.123056925,0.17429,0.1552166962655955,8.127412137400092e-07,1.354568689566682e-05,25357.4,1774.6,1.97,0.0,44.65,2026-04-20T22:33:37.725425
28,4.162103116912758,0.16924117403189196,0.15060144076889417,4.119433662878418,0.1750312,0.15623842896265674,3.6305418841282523e-07,6.050903140213754e-06,25366.9,1774.0,1.97,0.0,45.15,2026-04-21T05:36:29.509043
29,4.159191107549336,0.16992335277987952,0.15115212158230074,4.1170425799682615,0.1754182,0.15688743707817657,9.10398220766645e-08,1.5173303679444083e-06,25299.0,1778.7,1.97,0.0,45.47,2026-04-21T12:38:13.495454
30,4.157198125834394,0.17036646452119397,0.15153493058967915,4.1161232942993164,0.1755378,0.15701749999195078,0.0,0.0,25087.0,1793.8,1.97,0.0,45.69,2026-04-21T19:36:26.752354
