,precision,recall,f1-score,support
Pelosinus,0.3532494758909853,0.05172678434382195,0.09023965724996653,6515.0
Peptoniphilus,0.5331021850058877,0.277971073816346,0.36540962288686607,29316.0
Peptostreptococcus,0.47058823529411764,0.002456248081056187,0.004886988393402566,3257.0
Phascolarctobacterium,0.47624545402066615,0.47489302914596004,0.4755682800760909,52117.0
Phyllobacterium,0.38620689655172413,0.034387473134786614,0.06315195940231182,3257.0
Porphyromonas,0.7035191017390113,0.657209373720835,0.6795762072933613,39088.0
Prevotella,0.5006642766454471,0.5733838482662762,0.5345622844525941,296414.0
Propionibacterium,0.4209962506695233,0.12064466615502686,0.1875447387258411,6515.0
Propionimicrobium,0.39589169000933705,0.1301811482959779,0.19593345656192238,3257.0
Proteus,0.3953488372093023,0.020878108688977586,0.039661708953047534,3257.0
Providencia,0.3439793281653747,0.20433474550254804,0.25637470148678837,16287.0
Pseudobutyrivibrio,0.3686746987951807,0.02348426707597851,0.04415584415584416,6515.0
Pseudomonas,0.446985446985447,0.23102310231023102,0.30460962404493247,13029.0
Ralstonia,0.35353535353535354,0.03223825606386245,0.05908835115362971,3257.0
Robinsoniella,0.27717391304347827,0.00391434492286438,0.007719670021948081,13029.0
Roseburia,0.3102170144078436,0.10620139173147769,0.15823257657767545,48860.0
Rothia,0.5411140583554377,0.06263432606693276,0.11227297743533296,3257.0
Ruminococcus,0.4331225508919351,0.4406021096864252,0.4368303157414145,208467.0
Sanguibacteroides,0.26666666666666666,0.006140620202640466,0.012004801920768308,3257.0
Selenomonas,0.47326106594399275,0.3216675876465893,0.3830098329495193,16287.0
Slackia,0.4677859391395593,0.11405034793286942,0.18338886832037518,19544.0
Sneathia,0.0,0.0,0.0,3257.0
Solobacterium,0.35291300513880863,0.39590493164936935,0.37317481944126263,117263.0
Sporolactobacillus,0.2981220657276995,0.03899293828676696,0.06896551724137931,3257.0
Staphylococcus,0.28432356483340027,0.1739424080555044,0.21583939659441545,16287.0
Streptococcus,0.43792669438193677,0.5035744046313758,0.46846185230518156,68403.0
Streptomyces,0.3863114377583831,0.2582130795210316,0.3095325726904674,3257.0
Subdoligranulum,0.5142782289756354,0.200880065493246,0.28891014791375375,9772.0
Succinatimonas,0.5337938760268858,0.2925706099058535,0.3779746166049709,9772.0
Succiniclasticum,0.43041351711871945,0.22288740501957172,0.2936893203883495,13029.0
Sutterella,0.45766891130748244,0.4009144335774747,0.42741586693006345,91204.0
Treponema,0.5210966163880962,0.3924322664824622,0.4477036907315792,13029.0
Veillonella,0.5072385723231059,0.5652028299912086,0.534654249526437,71661.0
Weissella,0.270935960591133,0.016886705557261284,0.031791907514450865,3257.0
Xylanibacter,0.35135135135135137,0.007981580966999233,0.015608584721596878,6515.0
accuracy,0.5379626,0.5379626,0.5379626,0.5379626
macro avg,0.4104239144295032,0.22243550563365969,0.2571770811109048,5000000.0
weighted avg,0.5143024344206072,0.5379626,0.5066535937087124,5000000.0
